el1,el2,el3,el4,m1,m2,se1,se2,ap1,ap2,ap3,ap4,Gamification
5,5,4,5,5,5,5,5,5,2,5,4,Yes
5,4,5,4,5,5,4,5,5,4,5,5,Yes
5,5,5,5,5,5,5,5,4,5,5,5,Yes
4,4,4,5,4,3,4,4,4,4,4,4,Yes
5,5,5,5,5,5,5,5,5,5,5,5,Yes
3,5,5,5,5,5,5,5,5,5,5,5,Yes
5,5,5,4,5,5,5,4,5,5,5,5,Yes
5,5,3,5,5,5,5,5,5,5,5,5,Yes
5,3,4,3,4,4,4,5,5,4,5,5,Yes
4,4,5,5,3,3,5,5,3,4,3,3,Yes
5,5,4,5,4,5,4,3,4,4,5,4,Yes
5,4,4,5,4,5,5,5,5,5,5,4,Yes
5,5,5,5,4,5,4,4,3,4,4,5,Yes
5,4,3,5,4,5,3,3,4,4,4,4,Yes
5,5,5,5,4,5,5,3,4,4,4,4,Yes
4,4,4,5,3,3,3,4,4,3,4,4,Yes
5,5,5,5,5,2,4,5,5,5,5,5,Yes
3,5,3,5,3,3,3,4,4,3,3,4,Yes
5,5,5,5,5,5,5,5,5,5,5,5,Yes
5,5,4,5,4,5,4,5,3,3,5,5,Yes
4,4,4,4,4,5,5,4,4,4,3,4,Yes
5,5,5,5,5,5,5,4,4,5,3,5,Yes
5,5,4,5,5,4,4,4,3,3,4,4,Yes
5,5,4,5,5,5,4,4,4,5,4,5,Yes
3,4,4,4,3,4,4,5,4,3,5,5,Yes
4,5,4,3,4,5,4,4,3,3,4,4,Yes
5,5,5,5,5,5,5,5,4,4,4,4,Yes
5,4,5,4,5,5,5,5,5,5,5,5,Yes
5,5,3,5,4,4,4,5,2,3,3,2,Yes
3,4,4,4,5,5,4,3,4,3,5,4,Yes
4,5,5,5,5,5,5,5,5,4,5,4,Yes
5,5,5,5,5,5,5,5,5,5,5,5,Yes
5,5,5,5,5,5,5,5,3,4,4,3,Yes
5,5,5,5,4,5,5,4,4,4,4,4,Yes
5,5,4,5,5,5,5,4,3,4,4,4,Yes
5,5,4,5,5,5,4,4,4,4,4,4,Yes
4,3,4,3,5,5,4,5,3,3,3,4,Yes
5,5,4,5,5,5,4,5,4,4,5,4,Yes
5,3,5,5,4,5,4,3,4,4,3,4,Yes
4,5,3,4,3,5,5,4,3,5,4,3,Yes
3,4,5,5,5,5,5,5,5,5,5,5,Yes
5,5,5,5,5,5,5,4,5,4,5,5,Yes
4,5,3,4,3,3,3,4,1,1,3,4,Yes
5,5,5,5,5,5,5,5,3,4,5,5,Yes
4,4,4,3,2,4,3,3,2,4,2,4,Yes
5,5,5,5,5,5,4,4,5,5,5,5,Yes
5,5,4,4,4,4,3,3,5,4,4,4,Yes
5,5,5,5,5,5,5,5,5,5,5,5,Yes
5,5,5,3,5,5,5,5,5,5,5,5,Yes
5,5,5,5,5,5,5,5,4,5,5,5,Yes
5,5,5,5,5,3,5,3,4,3,3,3,Yes
4,5,4,3,5,5,4,4,3,4,4,4,Yes
5,5,5,5,5,5,5,5,4,4,3,4,Yes
5,4,4,4,5,5,5,4,4,5,4,5,Yes
5,5,5,5,5,5,5,5,5,5,5,5,Yes
3,5,4,3,3,5,3,3,3,3,3,3,Yes
3,4,4,4,4,4,3,4,3,4,5,5,Yes
4,4,4,2,4,4,4,4,4,4,3,4,Yes
5,5,5,5,5,5,5,5,3,5,5,5,Yes
5,2,3,5,4,3,5,4,3,3,4,3,Yes
4,4,4,4,3,4,4,4,3,2,3,3,Yes
5,5,5,5,5,5,4,4,2,3,4,4,Yes
5,5,4,4,5,5,4,5,4,3,5,5,Yes
5,5,5,5,5,5,3,4,5,4,5,4,Yes
4,4,3,4,3,3,3,4,4,5,4,4,Yes
5,5,1,5,1,1,2,4,5,5,4,4,Yes
5,5,5,5,1,1,1,4,2,2,3,3,Yes
5,5,5,5,5,5,5,4,2,2,5,4,Yes
5,5,4,5,4,5,5,4,5,4,4,4,Yes
5,5,5,5,1,2,3,4,3,1,3,2,Yes
5,5,5,5,2,4,5,4,5,4,5,5,Yes
5,5,4,4,3,4,3,4,5,4,3,4,Yes
5,5,3,5,5,3,3,3,3,2,3,2,Yes
3,3,3,3,3,3,3,3,1,1,1,1,Yes
4,5,4,2,3,3,4,4,2,3,4,3,Yes
5,5,5,4,5,4,3,5,3,3,4,4,Yes
3,3,4,4,3,3,3,3,3,3,3,3,Yes
4,4,5,4,5,4,4,4,4,3,5,5,Yes
5,5,5,5,5,5,5,5,5,5,5,5,Yes
5,5,5,5,5,5,5,5,4,4,4,4,Yes
4,4,5,5,4,5,5,5,5,5,4,4,Yes
5,5,5,5,5,5,5,5,4,4,5,5,Yes
5,4,4,4,4,4,3,4,3,3,4,3,Yes
3,3,3,3,3,3,3,3,3,3,3,3,Yes
3,3,4,4,4,3,4,5,3,3,4,3,Yes
5,5,4,5,5,5,5,4,5,5,5,5,Yes
5,5,5,5,5,5,5,5,4,5,5,5,Yes
5,5,5,5,5,5,5,5,4,3,4,5,Yes
3,3,3,3,3,3,3,3,3,3,3,3,Yes
4,3,1,3,3,1,3,5,3,1,3,3,Yes
4,3,3,4,5,5,3,4,3,3,3,4,Yes
5,5,5,5,4,4,4,5,5,4,5,5,Yes
4,4,4,4,3,3,5,5,3,3,3,3,Yes
5,5,5,5,5,5,5,5,5,2,5,5,Yes
5,5,3,3,5,5,5,5,4,3,3,3,Yes
5,5,4,4,5,5,5,5,4,3,5,4,Yes
5,4,4,4,5,3,4,4,5,5,5,5,Yes
4,5,4,4,5,5,4,4,4,5,4,5,Yes
5,5,5,4,5,4,4,5,4,3,4,4,Yes
3,4,3,5,2,4,3,3,4,1,3,3,Yes
5,4,2,3,4,3,3,3,2,3,3,3,Yes
4,4,4,5,4,3,3,2,5,5,5,5,Yes
5,4,4,5,5,4,4,4,4,4,4,4,Yes
5,5,5,5,4,4,4,3,4,4,5,4,Yes
5,4,4,4,3,3,4,5,4,5,4,5,Yes
5,5,5,5,5,5,4,5,3,3,3,4,Yes
5,5,5,5,5,4,4,5,5,5,5,4,Yes
5,5,5,5,4,5,5,5,4,4,5,4,Yes
4,4,4,4,5,5,5,5,3,5,3,3,Yes
5,5,5,5,5,5,5,5,5,5,5,5,Yes
5,5,5,3,5,5,4,4,1,1,4,4,Yes
3,3,3,3,3,3,3,3,3,3,3,3,Yes
1,2,1,2,2,2,2,2,2,2,2,1,Yes
5,5,5,5,5,5,4,4,4,4,4,4,Yes
5,5,5,5,5,5,4,5,4,5,5,4,Yes
1,5,5,5,1,5,5,5,5,4,5,3,Yes
4,5,5,5,5,5,4,5,5,4,4,4,Yes
5,5,3,5,5,4,3,4,5,4,3,4,Yes
5,5,5,5,5,5,5,4,4,4,5,4,Yes
3,3,3,2,1,1,4,3,3,2,3,3,No
3,3,3,3,3,3,3,4,2,2,3,3,No
5,4,5,5,4,4,5,5,4,2,5,5,No
5,5,5,5,1,1,1,3,4,3,5,4,No
5,5,5,5,3,1,5,5,5,5,5,2,No
5,3,5,5,3,3,5,5,4,3,3,4,No
5,3,5,5,3,3,5,3,4,4,4,4,No
5,5,5,4,5,5,5,5,5,5,5,5,No
5,5,5,5,3,4,4,5,2,2,5,4,No
5,5,4,5,5,5,4,5,4,4,5,4,No
3,5,5,1,5,5,5,5,5,5,5,5,No
2,3,4,5,4,2,4,4,3,2,3,3,No
5,5,5,5,1,3,2,3,4,3,4,4,No
5,4,5,5,2,1,2,4,2,3,5,3,No
4,5,3,5,3,4,2,3,2,5,4,2,No
5,5,5,5,5,5,5,4,4,4,4,4,No
4,4,4,4,1,1,4,5,4,3,3,4,No
4,4,3,4,4,2,2,4,3,2,4,4,No
5,5,5,5,5,4,3,3,3,4,5,4,No
5,4,4,4,3,3,4,4,2,1,4,5,No
5,5,5,2,2,1,3,5,5,4,5,5,No
5,5,5,5,4,3,4,4,5,4,4,5,No
4,4,4,4,4,3,3,5,4,3,4,5,No
3,3,3,3,3,2,4,3,4,3,5,3,No
5,5,3,4,4,4,3,3,4,3,4,3,No
5,5,5,4,5,4,5,4,4,1,3,5,No
5,5,4,5,4,5,5,4,3,3,5,5,No
1,2,2,5,4,2,3,3,2,2,2,2,No
5,5,5,5,5,5,5,5,4,4,4,4,No
4,5,5,5,3,4,5,5,5,1,4,5,No
3,4,5,5,5,5,4,4,3,3,3,3,No
5,5,5,5,4,4,5,4,3,3,4,4,No
5,5,3,5,5,5,3,5,5,4,5,5,No
5,5,5,5,5,5,4,5,5,5,5,5,No
4,5,3,5,4,4,4,3,2,1,3,3,No
5,4,3,3,5,5,4,5,3,3,4,4,No
4,4,4,4,5,5,4,4,5,5,5,5,No
5,5,5,5,5,5,5,5,5,5,5,5,No
5,5,5,5,5,5,5,5,5,5,5,5,No
4,5,4,3,3,3,4,4,3,3,3,3,No
4,3,4,3,3,2,5,3,3,1,3,4,No
5,5,4,2,5,5,4,3,4,4,4,4,No
5,5,4,5,2,3,3,5,5,5,5,5,No
5,5,5,5,5,4,3,2,3,4,3,3,No
4,3,3,5,5,5,5,5,1,4,5,3,No
4,5,4,3,5,2,1,4,5,5,4,4,No
5,5,4,4,3,2,3,5,3,3,4,3,No
4,5,3,5,2,4,3,3,3,4,1,4,No
5,5,5,5,5,5,4,4,4,4,4,4,No
4,4,4,3,4,3,2,4,4,4,5,5,No
5,5,5,5,5,5,4,5,4,5,3,4,No
5,5,5,5,5,4,4,4,2,3,3,4,No
2,3,3,5,4,3,3,4,1,3,4,4,No
5,4,4,2,4,3,3,5,3,1,4,4,No
5,5,4,5,3,2,3,5,1,2,5,4,No
5,4,3,5,3,3,3,4,3,4,3,4,No
5,3,3,5,3,4,3,5,3,3,4,3,No
5,5,3,5,3,2,3,5,2,2,3,3,No
5,5,3,5,5,5,3,4,2,3,5,5,No
5,5,4,5,4,4,2,4,3,3,4,3,No
3,4,4,3,5,5,5,5,5,5,5,5,No
3,3,3,4,4,3,4,5,5,3,4,4,No
5,5,5,5,4,5,5,4,2,3,3,4,No
4,4,3,5,3,4,3,2,5,4,3,3,No
5,3,1,1,4,4,1,4,3,3,4,4,No
5,4,5,4,5,4,4,4,4,3,5,5,No
3,3,3,3,1,1,3,3,1,2,2,3,No
4,3,3,1,4,4,3,4,2,2,4,4,No
4,4,4,4,3,5,4,5,4,4,4,4,No
5,5,2,5,4,5,4,5,3,4,5,4,No
2,2,2,2,3,3,2,3,3,4,3,3,No
5,5,3,5,4,5,4,4,3,3,5,5,No
3,4,3,5,4,3,4,5,2,5,4,5,No
5,5,4,5,3,3,4,4,3,2,4,3,No
5,4,3,2,3,2,3,4,4,1,4,4,No
5,5,5,5,5,5,5,5,4,3,4,4,No
5,5,5,5,5,5,5,4,5,5,5,5,No
5,5,3,3,3,4,3,3,3,3,3,4,No
5,5,5,5,5,5,5,5,5,5,5,5,No
5,4,4,2,4,4,4,4,4,4,4,4,No
5,3,5,5,5,5,5,5,5,4,5,5,No
4,5,4,3,2,4,5,5,3,4,5,5,No
5,5,4,5,5,5,5,5,3,4,3,4,No
4,4,4,4,4,4,4,3,3,3,4,3,No
4,5,5,4,4,5,4,4,4,4,4,4,No
4,3,4,4,3,4,4,3,4,3,4,4,No
5,5,3,4,5,5,3,5,1,3,3,1,No
